App_Name,Category,Size,Ratings,Developers,No_of_installs,Permissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Music & Audio,46M,"4.4 897,754 total",Revontulet Soft Inc,"50,000,000+",record audio,read the contents of your USB storage,modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,precise location (GPS and network-based),approximate location (network-based),read the contents of your USB storage,modify or delete the contents of your USB storage,receive data from Internet,control vibration,view network connections,Google Play license check,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,
Paint By Number - Free Coloring Book & Puzzle Game,Entertainment,36M,"4.6 719,730 total",Better Life - Color and Draw,"50,000,000+",read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,receive data from Internet,control vibration,view network connections,read Google service configuration,full network access,set wallpaper,run at startup,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,,,,
Akinator,Entertainment,42M,"4.3 2,300,914 total",Elokence,"100,000,000+",take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,approximate location (network-based),precise location (GPS and network-based),receive data from Internet,run at startup,connect and disconnect from Wi-Fi,view network connections,draw over other apps,full network access,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,
SHEIN-Fashion Shopping Online,Shopping,26M,"4.6 943,270 total","ZOETOP BUSINESS CO., LIMITED","50,000,000+",find accounts on the device,read your contacts,take pictures and videos,access USB storage filesystem,read the contents of your USB storage,modify or delete the contents of your USB storage,read your own contact card,find accounts on the device,read calendar events plus confidential information,add or modify calendar events and send email to guests without owners' knowledge,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,read phone status and identity,retrieve running apps,precise location (GPS and network-based),approximate location (network-based),receive data from Internet,change network connectivity,run at startup,draw over other apps,full network access,view network connections,control vibration,change system display settings,use accounts on the device,connect and disconnect from Wi-Fi,prevent device from sleeping,modify system settings,pair with Bluetooth devices,,,,,,,
Love Messages for Girlfriend ♥ Flirty Love Letters,Social,17M,"4.6 8,185 total",Touchzing Media,"1,000,000+",view Wi-Fi connections,read the contents of your USB storage,modify or delete the contents of your USB storage,precise location (GPS and network-based),read the contents of your USB storage,modify or delete the contents of your USB storage,full network access,prevent device from sleeping,view network connections,run at startup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amino: Communities and Chats,Social,47M,"4.7 2,315,618 total",Amino Apps,"10,000,000+",read your contacts,find accounts on the device,take pictures and videos,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,find accounts on the device,read the contents of your USB storage,modify or delete the contents of your USB storage,read phone status and identity,read phone status and identity,approximate location (network-based),precise location (GPS and network-based),receive data from Internet,change your audio settings,install shortcuts,control vibration,view network connections,full network access,pair with Bluetooth devices,draw over other apps,prevent device from sleeping,,,,,,,,,,,,,,,,
"Curvy Singles Dating - Meet online, Chat & Date",Dating,33M,"4.6 27,917 total",WooPlus Dating for Curvy People,"1,000,000+",read sensitive log data,approximate location (network-based),precise location (GPS and network-based),read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,take pictures and videos,record audio,view Wi-Fi connections,receive data from Internet,view network connections,full network access,run at startup,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,
Sua Música,Music & Audio,15M,"3.9 180,775 total",Sua Música: Baixar Musicas,"10,000,000+",approximate location (network-based),precise location (GPS and network-based),read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,download files without notification,receive data from Internet,view network connections,pair with Bluetooth devices,connect and disconnect from Wi-Fi,full network access,run at startup,prevent device from sleeping,,,,,,,,,,,,,,,,,,,,,,,
"iQIYI – Movies, Dramas & Shows",Entertainment,Varies with device,"4.4 21,223 total",IQIYI,"1,000,000+",view Wi-Fi connections,add or remove accounts,modify or delete the contents of your USB storage,read the contents of your USB storage,modify or delete the contents of your USB storage,read the contents of your USB storage,take pictures and videos,read calendar events plus confidential information,add or modify calendar events and send email to guests without owners' knowledge,read Home settings and shortcuts,receive data from Internet,change network connectivity,create accounts and set passwords,connect and disconnect from Wi-Fi,pair with Bluetooth devices,install shortcuts,allow Wi-Fi Multicast reception,control vibration,disable your screen lock,run at startup,prevent device from sleeping,uninstall shortcuts,control flashlight,reorder running apps,full network access,view network connections,,,,,,,,,,,,
Amazon Music: Stream Trending Songs & New Beats,Music & Audio,Varies with device,"4.4 1,567,013 total",Amazon Mobile LLC,"100,000,000+",find accounts on the device,read the contents of your USB storage,modify or delete the contents of your USB storage,record audio,find accounts on the device,add or remove accounts,read the contents of your USB storage,modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,read phone status and identity,receive data from Internet,control vibration,use accounts on the device,view network connections,send sticky broadcast,full network access,pair with Bluetooth devices,run at startup,create accounts and set passwords,connect and disconnect from Wi-Fi,access Bluetooth settings,prevent device from sleeping,,,,,,,,,,,,,,,
